"TA-TAD","Property_Type","House_Index","Date"
"Tasman District","Houses","1185","2011-03-31"
"Nelson City","All dwellings","1126","2011-03-31"
"Nelson City","Houses","1131","2011-03-31"
"Marlborough District","Houses","1290","2011-03-31"
"Marlborough District","All dwellings","1293","2011-03-31"
"Kaikoura District","All dwellings","1315","2011-03-31"
"Kaikoura District","Houses","1324","2011-03-31"
"Buller District","Houses","2001","2011-03-31"
"Buller District","All dwellings","2138","2011-03-31"
"Grey District","All dwellings","2141","2011-03-31"
"Grey District","Houses","2171","2011-03-31"
"Westland District","All dwellings","2180","2011-03-31"
"Westland District","Houses","2284","2011-03-31"
"Hurunui District","Houses","1674","2011-03-31"
"Hurunui District","All dwellings","1676","2011-03-31"
"Waimakariri District","All dwellings","1599","2011-03-31"
"Waimakariri District","Houses","1602","2011-03-31"
"Christchurch City","All dwellings","1556","2011-03-31"
"Christchurch City","Houses","1557","2011-03-31"
"Selwyn District","Houses","1883","2011-03-31"
"Selwyn District","All dwellings","1985","2011-03-31"
"Ashburton District","All dwellings","1763","2011-03-31"
"Ashburton District","Houses","1799","2011-03-31"
"Timaru District","All dwellings","1818","2011-03-31"
"Timaru District","Houses","1869","2011-03-31"
"MacKenzie District","All dwellings","1686","2011-03-31"
"MacKenzie District","Houses","1711","2011-03-31"
"Waimate District","All dwellings","1912","2011-03-31"
"Waimate District","Houses","1986","2011-03-31"
"Waitaki District","All dwellings","1499","2011-03-31"
"Waitaki District","Houses","1611","2011-03-31"
"Invercargill City","Houses","1706","2011-03-31"
"Gore District","All dwellings","1874","2011-03-31"
"Dunedin City","All dwellings","1471","2011-03-31"
"Queenstown-Lakes District","Houses","1140","2011-03-31"
"Dunedin City","Houses","1418","2011-03-31"
"Queenstown-Lakes District","All dwellings","1175","2011-03-31"
"Gore District","Houses","1923","2011-03-31"
"Clutha District","All dwellings","1954","2011-03-31"
"Southland District","Houses","1644","2011-03-31"
"Southland District","All dwellings","1596","2011-03-31"
"Central Otago District","All dwellings","1391","2011-03-31"
"Invercargill City","All dwellings","1732","2011-03-31"
"Central Otago District","Houses","1354","2011-03-31"
"Clutha District","Houses","1911","2011-03-31"
"Queenstown-Lakes District","All dwellings","1169","2011-06-30"
"Southland District","Houses","1696","2011-06-30"
"Central Otago District","Houses","1339","2011-06-30"
"Central Otago District","All dwellings","1394","2011-06-30"
"Clutha District","Houses","1840","2011-06-30"
"Southland District","All dwellings","1666","2011-06-30"
"Gore District","Houses","1967","2011-06-30"
"Dunedin City","Houses","1400","2011-06-30"
"Dunedin City","All dwellings","1457","2011-06-30"
"Invercargill City","Houses","1735","2011-06-30"
"Invercargill City","All dwellings","1722","2011-06-30"
"Gore District","All dwellings","1922","2011-06-30"
"Clutha District","All dwellings","1880","2011-06-30"
"Queenstown-Lakes District","Houses","1133","2011-06-30"
"New Zealand","All dwellings","1453","2011-06-30"
"New Zealand","Houses","1462","2011-06-30"
"Main Urban Areas","All dwellings","1418","2011-06-30"
"Main Urban Areas","Houses","1422","2011-06-30"
"Auckland Area","Houses","1350","2011-06-30"
"Auckland Area","All dwellings","1362","2011-06-30"
"Wellington Area","All dwellings","1441","2011-06-30"
"Wellington Area","Houses","1465","2011-06-30"
"Far North District","Houses","1417","2011-06-30"
"Far North District","All dwellings","1489","2011-06-30"
"Whangarei District","All dwellings","1520","2011-06-30"
"Whangarei District","Houses","1539","2011-06-30"
"Kaipara District","All dwellings","1562","2011-06-30"
"Kaipara District","Houses","1658","2011-06-30"
"Rodney District","Houses","1437","2011-06-30"
"Rodney District","All dwellings","1443","2011-06-30"
"North Shore City","Houses","1421","2011-06-30"
"North Shore City","All dwellings","1429","2011-06-30"
"Waitakere City","All dwellings","1425","2011-06-30"
"Waitakere City","Houses","1430","2011-06-30"
"Auckland City","All dwellings","1292","2011-06-30"
"Auckland City","Houses","1317","2011-06-30"
"Manukau City","Houses","1456","2011-06-30"
"Manukau City","All dwellings","1467","2011-06-30"
"Papakura District","Houses","1406","2011-06-30"
"Papakura District","All dwellings","1454","2011-06-30"
"Franklin District","Houses","1616","2011-06-30"
"Franklin District","All dwellings","1619","2011-06-30"
"Thames-Coromandel District","All dwellings","1247","2011-06-30"
"Thames-Coromandel District","Houses","1274","2011-06-30"
"Hauraki District","All dwellings","1700","2011-06-30"
"Hauraki District","Houses","1703","2011-06-30"
"Waikato District","All dwellings","1674","2011-06-30"
"Waikato District","Houses","1687","2011-06-30"
"Matamata-Piako District","All dwellings","1755","2011-06-30"
"Matamata-Piako District","Houses","1806","2011-06-30"
"Hamilton City","All dwellings","1551","2011-06-30"
"Hamilton City","Houses","1580","2011-06-30"
"Waipa District","All dwellings","1766","2011-06-30"
"Waipa District","Houses","1786","2011-06-30"
"Otorohanga District","Houses","2052","2011-06-30"
"Otorohanga District","All dwellings","2069","2011-06-30"
"South Waikato District","All dwellings","2018","2011-06-30"
"South Waikato District","Houses","2095","2011-06-30"
"Waitomo District","All dwellings","1481","2011-06-30"
"Waitomo District","Houses","1535","2011-06-30"
"Taupo District","All dwellings","1155","2011-06-30"
"Taupo District","Houses","1240","2011-06-30"
"Western Bay of Plenty District","All dwellings","1528","2011-06-30"
"Western Bay of Plenty District","Houses","1615","2011-06-30"
"Tauranga City","Houses","1267","2011-06-30"
"Tauranga City","All dwellings","1290","2011-06-30"
"Rotorua District","All dwellings","1575","2011-06-30"
"Rotorua District","Houses","1603","2011-06-30"
"Whakatane District","Houses","1450","2011-06-30"
"Whakatane District","All dwellings","1544","2011-06-30"
"Kawerau District","All dwellings","2105","2011-06-30"
"Kawerau District","Houses","2111","2011-06-30"
"Opotiki District","Houses","1371","2011-06-30"
"Opotiki District","All dwellings","1720","2011-06-30"
"Gisborne District","All dwellings","1701","2011-06-30"
"Gisborne District","Houses","1785","2011-06-30"
"Wairoa District","All dwellings","1777","2011-06-30"
"Wairoa District","Houses","1896","2011-06-30"
"Hastings District","Houses","1391","2011-06-30"
"Hastings District","All dwellings","1407","2011-06-30"
"Napier City","Houses","1316","2011-06-30"
"Napier City","All dwellings","1327","2011-06-30"
"Central Hawkes Bay District","Houses","1334","2011-06-30"
"Central Hawkes Bay District","All dwellings","1345","2011-06-30"
"New Plymouth District","Houses","1686","2011-06-30"
"New Plymouth District","All dwellings","1707","2011-06-30"
"Stratford District","All dwellings","2452","2011-06-30"
"Stratford District","Houses","2559","2011-06-30"
"South Taranaki District","All dwellings","2017","2011-06-30"
"South Taranaki District","Houses","2069","2011-06-30"
"Ruapehu District","All dwellings","2262","2011-06-30"
"Ruapehu District","Houses","2269","2011-06-30"
"Wanganui District","All dwellings","1876","2011-06-30"
"Wanganui District","Houses","1976","2011-06-30"
"Rangitikei District","All dwellings","2010","2011-06-30"
"Rangitikei District","Houses","2012","2011-06-30"
"Manawatu District","Houses","1639","2011-06-30"
"Manawatu District","All dwellings","1656","2011-06-30"
"Palmerston North City","Houses","1515","2011-06-30"
"Palmerston North City","All dwellings","1516","2011-06-30"
"Tararua District","All dwellings","1869","2011-06-30"
"Tararua District","Houses","1951","2011-06-30"
"Horowhenua District","All dwellings","1680","2011-06-30"
"Horowhenua District","Houses","1701","2011-06-30"
"Kapiti Coast District","All dwellings","1564","2011-06-30"
"Kapiti Coast District","Houses","1582","2011-06-30"
"Porirua City","All dwellings","1557","2011-06-30"
"Porirua City","Houses","1574","2011-06-30"
"Upper Hutt City","Houses","1584","2011-06-30"
"Upper Hutt City","All dwellings","1627","2011-06-30"
"Lower Hutt City","All dwellings","1507","2011-06-30"
"Lower Hutt City","Houses","1517","2011-06-30"
"Wellington City","All dwellings","1370","2011-06-30"
"Wellington City","Houses","1413","2011-06-30"
"Masterton District","All dwellings","1494","2011-06-30"
